Timestamp,Region,Type of Area ,Age,Gender,Ethnicity ,Education,-in usage,Romantic Partner ,Close friend,Acquaintance/Stranger,Parent/Guardian,Short answer,-in usage w/ gender ,Boss,Doing,"Again, thinking about your own pronunciation, for the next few questions I want you to indicate what kind of person you think you are likely to drop the 'g' with?

1= Not likely at all, will never use it with someone like this 
5= Very likely, use it all the time with people like this  [Parent/Guardian]",Admitting,Feeling,Ending,Shopping,Nothing,Struggling,Talking,Something,Anything,Developing,Warning,,
3/2/2023 16:12:39,Northeast,Suburban,22,Female,White,Currently in College,I drop the 'g' on -ing ending word multiples times a day,4,5,1,3,,Female,2,4,3,2,4,2,4,5,2,5,3,4,1,4,,
3/5/2023 18:01:18,Northeast,Urban,19,Female,White,Currently in College,I often drop the 'g' on -ing ending words,5,5,5,5,I feel like it is a very normal thing to drop the g and doesn’t make anything less professional usually. ,No Difference,5,5,5,1,5,1,5,5,2,5,5,1,1,5,,
3/5/2023 20:02:29,Northeast,Suburban,61,Female,White,Bachelors Degree,I rarely drop the 'g' on -ing ending words,1,1,1,1,Not a person who uses slang,Male,1,1,1,1,1,1,1,3,1,1,1,1,1,1,,
3/5/2023 20:07:20,Northeast,Suburban,21,Female,White,Currently in College,I rarely drop the 'g' on -ing ending words,3,3,1,2,I use more proper language when speaking to authority and strangers/people I am not close with,Female,1,4,2,1,4,1,3,4,1,3,3,1,1,1,,
3/5/2023 20:18:38,Northeast,Suburban,21,Female,Hispanic or Latino,Bachelors Degree,I rarely drop the 'g' on -ing ending words,2,4,2,3,,Male,1,4,3,1,4,2,4,4,4,3,4,2,1,1,,
3/8/2023 22:47:55,Northeast,Suburban,23,Female,White,Bachelors Degree,I sometimes drop the 'g' on -ing ending words,3,3,2,3,I know my verbal habits when I surround myself around certain people. ,No Difference,1,3,3,1,1,1,1,3,3,1,2,1,1,1,,
3/15/2023 12:45:42,Southeast,Urban,20,Female,White,Currently in College,I often drop the 'g' on -ing ending words,3,4,2,4,Because each person has a different levels of politeness you need to uphold ,Female,1,4,4,1,3,1,3,3,2,3,4,1,1,1,,
3/15/2023 13:27:38,Southeast,Suburban,22,Female,White,Currently in College,I often drop the 'g' on -ing ending words,5,5,2,4,"The closer I am to a person, the more likely I'll drop the g",No Difference,1,4,4,1,3,1,1,5,3,4,5,1,1,1,,
3/15/2023 13:32:57,Southeast,Rural,21,Male,White,Currently in College,I often drop the 'g' on -ing ending words,2,5,3,5,Because using it in certain cases sounds unprofessional ,Male,1,5,5,1,5,3,3,5,4,5,5,2,1,5,,
3/15/2023 13:33:22,Southeast,Suburban,21,Female,White,Currently in College,I sometimes drop the 'g' on -ing ending words,2,2,1,2,Based on professionalism and comfortability of relationship,Male,1,4,2,2,4,3,4,4,4,4,4,1,2,3,,
3/15/2023 13:47:51,Northeast,Suburban,21,Female,"Black or African American, Hispanic or Latino, White",Currently in College,I rarely drop the 'g' on -ing ending words,1,2,1,2,Comfortable around the person ,No Difference,1,3,2,1,3,1,3,1,1,3,1,1,1,1,,
3/15/2023 14:03:14,Southeast,Suburban,20,Female,Asian,Currently in College,I sometimes drop the 'g' on -ing ending words,4,4,4,2,I feel like I speak more casually amongst my peers. ,No Difference,2,4,2,1,1,1,1,4,1,2,3,2,1,1,,
3/15/2023 15:29:43,Southeast,Suburban,21,Female,White,Currently in College,I sometimes drop the 'g' on -ing ending words,3,3,2,2,Dropping the g is less formal,No Difference,1,3,2,1,2,1,1,3,2,2,2,1,1,1,,
3/17/2023 13:49:37,Northeast,Suburban,20,Male,"Hispanic or Latino, White",Currently in College,I often drop the 'g' on -ing ending words,5,5,5,5,I always pronounce it that way,No Difference,5,5,5,5,5,5,5,1,5,5,1,1,5,5,,
3/17/2023 17:38:12,Southeast,Rural,19,Female,White,Currently in College,I often drop the 'g' on -ing ending words,5,5,3,5,,Male,1,1,5,1,5,3,1,5,4,5,1,2,3,3,,
3/18/2023 13:54:42,Southeast,Rural,22,Female,White,Currently in College,I often drop the 'g' on -ing ending words,4,3,2,5,,Male,2,5,5,1,5,2,5,5,5,5,5,3,5,5,,
3/20/2023 6:35:04,Southeast,Rural,21,Female,White,Currently in College,I often drop the 'g' on -ing ending words,5,5,2,2,I am more likely to drop it in informal situations. ,No Difference,1,5,2,1,5,1,4,5,1,5,5,1,2,3,,
3/21/2023 16:31:28,Northeast,Rural,22,Male,White,Bachelors Degree,I sometimes drop the 'g' on -ing ending words,4,4,3,4,I talk more casually with people I am closer with,Male,2,2,4,1,4,2,3,5,3,4,3,3,1,1,,
3/21/2023 16:41:19,Southeast,Suburban,57,Female,White,PhD,I never drop the 'g' on -ing ending words,2,2,1,2,,No Difference,1,1,2,1,1,1,1,2,1,1,1,1,1,1,,
3/21/2023 16:43:35,Northeast,Suburban,23,Female,White,Masters Degree,I rarely drop the 'g' on -ing ending words,2,2,1,1,"Know the person better, dropping the g seems more informal",No Difference,1,2,1,1,1,1,1,2,1,1,1,1,1,1,,
3/21/2023 17:25:47,Northeast,Suburban,26,Female,White,Masters Degree,I sometimes drop the 'g' on -ing ending words,4,4,2,4,I drop the g when I'm talking more casually,No Difference,2,4,4,2,5,1,3,4,5,5,2,2,2,1,,
3/21/2023 17:55:35,Northeast,Urban,38,Male,Asian,PhD,I never drop the 'g' on -ing ending words,1,1,1,1,I don't think I ever drop the 'g' in 'ing'-ending words. ,No Difference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
3/21/2023 19:21:33,Southeast,Rural,50,Female,White,PhD,I sometimes drop the 'g' on -ing ending words,3,3,2,4,My close friends and family are familiar with my native way of speaking.,No Difference,1,2,4,1,3,2,1,2,2,3,3,1,1,1,,
3/21/2023 22:44:44,Midwest,Rural,22,Male,White,Masters Degree,I sometimes drop the 'g' on -ing ending words,4,5,2,3,Use of slang depends on familiarity,Male,1,4,3,1,4,1,2,5,2,5,5,1,1,1,,
3/22/2023 16:35:44,Do not live in the United States,Urban,25,Female,Asian,Bachelors Degree,I sometimes drop the 'g' on -ing ending words,5,5,3,2,,No Difference,2,5,2,3,3,3,3,3,3,3,5,5,3,3,,
3/22/2023 17:00:22,West,Rural,50,Female,White,Masters Degree,I often drop the 'g' on -ing ending words,5,5,4,5,"I expect to be less formal with those I am close to. I also think more closely about how I am talking with those I am less close to. At the same time, I don't think about it very much. ",No Difference,4,5,5,2,4,1,3,1,4,3,4,1,1,1,,
3/28/2023 8:11:56,Northeast,Rural,26,Male,White,Bachelors Degree,I sometimes drop the 'g' on -ing ending words,3,3,2,3,,No Difference,2,1,3,1,3,1,2,2,2,2,3,1,1,2,,
3/29/2023 10:24:46,Northeast,Suburban,19,Female,White,Currently in College,I rarely drop the 'g' on -ing ending words,3,2,1,2,My partner is from the south so out of habit I am more likely to drop the g around him.,No Difference,1,1,2,1,3,1,2,2,3,3,2,1,1,2,,
3/29/2023 10:26:02,Southeast,Suburban,21,Male,White,Currently in College,I rarely drop the 'g' on -ing ending words,2,3,1,4,"My family drops the 'g' so out of everyone, I'd be more likely to do it with them; but the other options I chose relied on level of comfortability and the likelihood of them doing it as well.",No Difference,1,1,4,1,4,1,3,3,1,5,5,1,1,5,,
3/29/2023 10:35:39,Southeast,Suburban,20,Female,Asian,Currently in College,I sometimes drop the 'g' on -ing ending words,3,4,1,2,I want to come off as professional and well put together in front of people that I do not know that well or have a higher authority over me. ,No Difference,1,1,2,1,4,1,1,4,1,3,4,1,1,2,,
3/29/2023 10:36:52,Northeast,Suburban,22,Non-Binary,White,Currently in College,I rarely drop the 'g' on -ing ending words,4,4,2,2,,No Difference,2,4,2,2,4,2,2,5,2,2,2,2,2,2,,
3/29/2023 11:20:59,Southeast,Suburban,21,Female,White,Currently in College,I often drop the 'g' on -ing ending words,5,5,5,5,"Something about dropping the g sounds informal. I’m southern and it’s how I’ve always talked but when I’m with professionals, my accent changes ",No Difference,3,2,5,1,5,2,1,5,5,5,5,2,1,1,,
3/29/2023 11:46:36,Southeast,Suburban,19,Female,"Hispanic or Latino, White",Currently in College,I often drop the 'g' on -ing ending words,5,5,2,4,"Droppin' the g feels less formal, but it's easier for me to say with my accent.  ",No Difference,1,3,4,1,5,2,1,5,3,4,4,2,4,2,,
3/29/2023 14:46:16,Do not live in the United States,Rural,,,"American Indian or Alaska Native, Asian, Black or African American, Hispanic or Latino, Native Hawaiian or Other Pacific Islander, White",Bachelors Degree,I always drop the 'g' on -ing ending words,,,,,,,,,,,,,,,,,,,,,,
3/29/2023 14:46:59,Southeast,Urban,24,Male,White,Bachelors Degree,I often drop the 'g' on -ing ending words,4,5,2,3,"The closer I am with someone, the more likely I am to drop the g. Also depends on the level of professionalism necessary when conversing. ",Male,1,3,3,1,4,2,4,5,3,4,4,2,2,1,,
4/3/2023 8:04:07,Northeast,Urban,17,Male,"Asian, White","Some High School, no Diploma",I rarely drop the 'g' on -ing ending words,2,2,3,1,"I tend to match my pronunciation to the people I'm speaking with, so if a stranger is dropping the ""g"" I'm likely to do so as well.",Male,1,2,1,2,3,2,2,3,2,2,3,2,2,2,,
4/3/2023 8:23:50,Northeast,Urban,34,Male,Asian,Bachelors Degree,I never drop the 'g' on -ing ending words,,1,1,1,I don't speak that way at all,No Difference,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
4/3/2023 12:19:33,Do not live in the United States,Urban,56,Male,White,High School,I rarely drop the 'g' on -ing ending words,2,2,2,2,I don't know,No Difference,2,2,2,1,1,1,1,3,1,1,2,2,1,1,,
4/3/2023 13:15:36,Northeast,Urban,22,Male,"Asian, Native Hawaiian or Other Pacific Islander",High School,I rarely drop the 'g' on -ing ending words,1,1,1,1,I only ever drop vowels with family of a similar age to me and that's not one of the choices,No Difference,1,2,1,1,1,1,1,4,1,1,3,1,1,1,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
